구분,소득,문해,유아사망,기대수명
Brazil,10326,90,23.6,75.4
Germany ,39650,99,4.08,42.1
 Mozambique ,830,38.7,95.9,42.1
Australia,43163,99,4.57,81.2
China,5300,90.9,23,73
 Argentina,13308,97.2,13.4,75.3
 United Kingdom,34105,99,5.01,79.4
South Africa,10600,82.4,44.8,49.3
Zambia,1000,68,92.7,42.4
Namibia,5249,85,42.3,52.9
